variant 0 apps=['YYYYNN'] v=1572 width=1048824
t=0: YYYYNN
t=12500: YYYNNYYY
t=25000: NNYNNYYYYN
t=37500: YYYNNYYYYNN
t=50000: ?
t=62500: YYNNYYYNN
t=75000: YYNNYYYYNYYYYNN
t=87500: YYNNYYYNNYYYNY
t=100000: NNYYYYYNYYYYN
t=112500: NNNYYYNYYYYNN
t=125000: YNNYYYYNNYYYNN
t=137500: YNNYYYNYYYYYYYYYYYN
t=150000: NYYYYNYYYYNYYYYN
t=162500: NNYYYYNYYYNNYYYNY
t=175000: NNYYYNNYYYNYYYYYN
t=187500: NNYYYYYYYYYYNYYYYNYYN
t=200000: NYYYYNYYYYNYYYYNNYYYNN
t=212500: ?
t=225000: ?
t=237500: NYYYYYNYYYYNYYYYNYYYYN
t=250000: YYYYNYYYYNNYYYNNYYYNY
